genome_name	genome_fpath	batch	barcode	genus	read_filename	subreadset_xml_fpath
batch2_bc1017_metaflye_ccs_contig_223_Prochlorococcus_B	/nfs/chisholmlab001/nvo/projects/23_genome_closing/assembly_extraction/extract_best_assemblies/outputs/best_assemblies/batch2_bc1017_metaflye_ccs_contig_223_Prochlorococcus_B.fasta	batch2	bc1017	Prochlorococcus	demux_subreadset.bc1017--bc1017.subreadset	/nfs/chisholmlab001/kve/2023_HIFI_Genome_Closing_Project/demultiplexing/batch2/1/lima_demux/demux_subreadset.bc1017--bc1017.subreadset.xml
batch2_bc1018_metaflye_ccs_contig_145_Prochlorococcus_sp000760215	/nfs/chisholmlab001/nvo/projects/23_genome_closing/assembly_extraction/extract_best_assemblies/outputs/best_assemblies/batch2_bc1018_metaflye_ccs_contig_145_Prochlorococcus_sp000760215.fasta	batch2	bc1018	Prochlorococcus	demux_subreadset.bc1018--bc1018.subreadset	/nfs/chisholmlab001/kve/2023_HIFI_Genome_Closing_Project/demultiplexing/batch2/1/lima_demux/demux_subreadset.bc1018--bc1018.subreadset.xml
batch2_bc1019_metaflye_ccs_contig_32_Prochlorococcus_sp000760215	/nfs/chisholmlab001/nvo/projects/23_genome_closing/assembly_extraction/extract_best_assemblies/outputs/best_assemblies/batch2_bc1019_metaflye_ccs_contig_32_Prochlorococcus_sp000760215.fasta	batch2	bc1019	Prochlorococcus	demux_subreadset.bc1019--bc1019.subreadset	/nfs/chisholmlab001/kve/2023_HIFI_Genome_Closing_Project/demultiplexing/batch2/1/lima_demux/demux_subreadset.bc1019--bc1019.subreadset.xml
batch2_bc1020_metaflye_ccs_contig_6_Prochlorococcus_marinus	/nfs/chisholmlab001/nvo/projects/23_genome_closing/assembly_extraction/extract_best_assemblies/outputs/best_assemblies/batch2_bc1020_metaflye_ccs_contig_6_Prochlorococcus_marinus.fasta	batch2	bc1020	Prochlorococcus	demux_subreadset.bc1020--bc1020.subreadset	/nfs/chisholmlab001/kve/2023_HIFI_Genome_Closing_Project/demultiplexing/batch2/1/lima_demux/demux_subreadset.bc1020--bc1020.subreadset.xml
batch2_bc1021_metaflye_ccs_contig_1_Synechococcus_C_sp001632165	/nfs/chisholmlab001/nvo/projects/23_genome_closing/assembly_extraction/extract_best_assemblies/outputs/best_assemblies/batch2_bc1021_metaflye_ccs_contig_1_Synechococcus_C_sp001632165.fasta	batch2	bc1021	Synechococcus	demux_subreadset.bc1021--bc1021.subreadset	/nfs/chisholmlab001/kve/2023_HIFI_Genome_Closing_Project/demultiplexing/batch2/1/lima_demux/demux_subreadset.bc1021--bc1021.subreadset.xml
batch2_bc1022_metaflye_ccs_contig_229_Synechococcus_C_sp002687115	/nfs/chisholmlab001/nvo/projects/23_genome_closing/assembly_extraction/extract_best_assemblies/outputs/best_assemblies/batch2_bc1022_metaflye_ccs_contig_229_Synechococcus_C_sp002687115.fasta	batch2	bc1022	Synechococcus	demux_subreadset.bc1022--bc1022.subreadset	/nfs/chisholmlab001/kve/2023_HIFI_Genome_Closing_Project/demultiplexing/batch2/1/lima_demux/demux_subreadset.bc1022--bc1022.subreadset.xml
batch3_bc1001_metaflye_subreadset_contig_6_Marinobacter	/nfs/chisholmlab001/nvo/projects/23_genome_closing/assembly_extraction/extract_best_assemblies/outputs/best_assemblies/batch3_bc1001_metaflye_subreadset_contig_6_Marinobacter.fasta	batch3	bc1001	Marinobacter	demux_subreadset.bc1001--bc1001.subreadset	/nfs/chisholmlab001/kve/2023_HIFI_Genome_Closing_Project/demultiplexing/batch3/1/lima_demux/demux_subreadset.bc1001--bc1001.subreadset.xml
batch3_bc1001_metaflye_ccs_contig_29_Prochlorococcus_A_marinus_I	/nfs/chisholmlab001/nvo/projects/23_genome_closing/assembly_extraction/extract_best_assemblies/outputs/best_assemblies/batch3_bc1001_metaflye_ccs_contig_29_Prochlorococcus_A_marinus_I.fasta	batch3	bc1001	Prochlorococcus	demux_subreadset.bc1001--bc1001.subreadset	/nfs/chisholmlab001/kve/2023_HIFI_Genome_Closing_Project/demultiplexing/batch3/1/lima_demux/demux_subreadset.bc1001--bc1001.subreadset.xml
batch3_bc1002_metaflye_ccs_contig_8_Prochlorococcus_A_marinus_I	/nfs/chisholmlab001/nvo/projects/23_genome_closing/assembly_extraction/extract_best_assemblies/outputs/best_assemblies/batch3_bc1002_metaflye_ccs_contig_8_Prochlorococcus_A_marinus_I.fasta	batch3	bc1002	Prochlorococcus	demux_subreadset.bc1002--bc1002.subreadset	/nfs/chisholmlab001/kve/2023_HIFI_Genome_Closing_Project/demultiplexing/batch3/1/lima_demux/demux_subreadset.bc1002--bc1002.subreadset.xml
batch3_bc1003_metaflye_ccs_contig_1_Prochlorococcus_C	/nfs/chisholmlab001/nvo/projects/23_genome_closing/assembly_extraction/extract_best_assemblies/outputs/best_assemblies/batch3_bc1003_metaflye_ccs_contig_1_Prochlorococcus_C.fasta	batch3	bc1003	Prochlorococcus	demux_subreadset.bc1003--bc1003.subreadset	/nfs/chisholmlab001/kve/2023_HIFI_Genome_Closing_Project/demultiplexing/batch3/1/lima_demux/demux_subreadset.bc1003--bc1003.subreadset.xml
